Designator,Mid X,Mid Y,Rotation,Layer
C1,-6.2,6.9,270.0,top
C2,-4.6,6.9,270.0,top
C3,-0.7,-3.4,0.0,top
C4,-4.85,0.775,90.0,top
C5,-3.25,0.775,90.0,top
D1,-8.25,0.0,180.0,top
D2,0.0,0.0,180.0,top
D3,6.0,0.0,0.0,top
L1,-9.05,4.95,270.0,top
R1,7.55,-2.45,180.0,top
R2,9.2,-4.05,0.0,top
RV1,7.25,-7.0,270.0,top
U1,-6.05,-3.275,90.0,top
