Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C5",0603,4,4u7,
C3,0603,1,100n,
D1,D_SOD-123,1,MBR0520,
D2,LEDRD254W50D405H508,1,LED,
D3,D_MELF,1,DIODE,
L1,DO1608C,1,22u,
R1,0603,1,2k2,
R2,0603,1,33,
RV1,PANASONIC_EVM3YSX50B52,1,200,
U1,SOP50P490X110-8N,1,MAX1674,
